,999_2N1_31,999_2N1_32,999_2N1_33,999_2N1_41,999_2N1_42,999_2N1_43,999_2N1_51,999_2N1_52,999_2N1_53,999_2N1_A1,999_2N1_A2,999_2N1_A3,999_2N1_N1,999_2N1_N2,999_2N1_N3,999_2N1_NA,999_2N1_NB,909_TPH_RAMEAL,999_FA1_P1,999_FA1_P2,999_HS1_L1,999_HS1_L2,999_HS1_L3,999_HS1_P1,999_HS1_PA,999_HS1_PB,999_HS1_PC,999_HS1_PD,999_HS1_PE,999_LQ1_T1,999_LQ1_T2,999_LQ1_T3,999_LQ1_T4,999_LQ1_T5,999_LQ1_T7,999_LQ1_T8,999_LQ1_TA,999_LQ1_TB,999_LQ1_TC,999_LQ1_TD,999_LQ1_TE,999_LQ1_TF,999_LQ2_F1,999_LQ2_F2,999_LQ2_F3,999_LQ2_T1,999_LQ2_T2,999_LQ2_T3,999_LQ2_T4,999_LQ2_T5,999_LQ2_T6,999_MD1_NA,999_MD1_NB,999_MD1_TA,999_MD1_TB,999_MD1_TU,999_MD1_TV,999_MD1_TW,999_MD1_TX,999_RM1_P3,999_RM1_T1,999_RM1_T2,999_SR1_NA,999_SR1_NB,999_SR1_TA,999_SR1_TB,999_SR1_TC,999_SR1_TD,999_SR1_TE,999_SR1_TF,999_SR1_TU,999_SR1_TV,999_SR1_TW,999_2N1_Z01,999_2N1_Z02,999_2N1_Z03,999_2N1_Z04,999_2N1_Z05,999_2N1_Z06,999_2N1_Z07,999_2N1_Z08,999_2N1_Z09,999_2N1_Z10,999_2N1_Z11,999_2N1_Z12,999_2N1_Z13,999_2N1_Z14,999_LQ1_F1,999_LQ1_F2,999_LQ1_PA,999_LQ1_PB,999_LQ1_PC,999_LQ1_PD,999_LQ1_PE,999_LQ1_PF,999_LQ1_PG,999_LQ1_PH,999_LQ1_PI,999_LQ1_PJ,999_LQ1_PK,999_LQ1_PL,999_LQ1_PM,999_LQ1_PN,999_LQ1_PO,999_LQ1_PP,999_LQ1_PQ,999_LQ1_PR,999_2N1_T7
2021-08-05 10:00,2.4,1.48,2.089999914,0.839999974,0.159999996,0.150000006,1.302499986,0.9575,0.1925,18.4,38,47.2,0.300000012,0.200000003,0.449999988,1.73,2.09,478.655252,30.3897,10.27441,59.16011,71.61429,63.3296225,145,144.025175,143.0118,143.988625,144.3908,144.004525,38.72801,48.78472137,43.46065,56.42361,57.34953308,48.4375,50.9838,84.08565,68.40278,77.5463,72.74306,71.52778,59.66435,58,96,95,51,51,58,57,53,52,0.581581414,0.5902618,42.92500114,53.42500114,64.3,64.7,65.7,53.90000153,39.5415725,182.579125,76.9837675,10.9306425,10.8204075,48.29999943,62.325,70,86.30000305,89.90000153,105.8,61.925,62.1,64.125,8.029999733,8.270000458,7.320000172,7.610000134,6.878,6.789,6.97425,6.916,5.163,5.03,4.78625,4.54425,4.20925,4.20925,499.6817,548.140925,1.388888877,67.979605,50.14829,40.961375,1.096643,79.86111,79.029225,74.9421275,73.7485525,72.066695,79.42708,72.04861,74.81554,70.1135725,72.4645525,71.4156525,77.56438,6.86993625,83.7
2021-08-05 11:00,2.349999905,1.482500014,2.054999983,0.850000024,0.159999996,0.150000006,1.325000039,0.9,0.189999998,19.325,38.6,48.4,0.300000012,0.200000003,0.449999988,1.64,2.05,468.3785433,30.1354125,10.00722575,60.316515,73.15881,62.5998575,145,144.16125,143.165675,144.678825,145.059975,144.723175,38.87268448,48.95832825,43.69213,56.53935242,57.46528,48.61111,51.09953308,84.375,68.86574,77.60416412,72.74306,71.64351654,59.72222137,58,95,95,51,52,58.25,57,53,52,0.581581414,0.5902618,44.6,55,66.30000305,66.8,67.72500343,55.70000076,40.8978725,189.692975,77.704845,10.1396075,10.0854,49.79999924,63.90000153,70.90000153,86.5,90.20000458,106,63.825,63.92500114,66,8.029999733,8.279999733,7.320000172,7.6025,6.89,6.80025,6.98,6.92425,5.1815,5.048,4.77875,4.551,4.201,4.201,499.0741,548.140925,1.385995269,68.0338525,45.1388875,36.4040775,1.096643,73.7847225,79.7706925,72.5007225,74.05599,73.965565,79.228155,71.70501,76.55165,68.7753175,74.29108,69.2816875,74.1283275,6.875,83.8
2021-08-05 12:00,2.324999957,1.529999971,2.119999886,0.850000012,0.159999996,0.150000006,1.289999962,0.965,0.180000007,18.5,38.3,47.55,0.310000002,0.200000003,0.449999988,1.68,1.985,484.2841703,30.04453,9.7710395,60.231305,72.367855,64.536785,144,143.95795,142.81235,144.3136,144.8628,143.9659,37.76956,48.95832825,43.51852,56.59722137,57.58102,48.640045,51.21527863,84.230325,68.57639,77.60416412,72.91666,71.64351654,59.78009033,58,96,94,51,52,59,57,53,53,0.581581414,0.5902618,45.95000076,56.25,67.40000076,67.80000153,68.8,56.60000114,40.22243,195.33335,76.847195,10.562945,10.281775,50.8,64.90000153,71.5,86,89.7,104.2000046,64.7,64.80000153,66.90000153,8.029999733,8.270000458,7.320000172,7.599999905,6.889,6.805,6.984,6.929,5.183,5.0585,4.795,4.563,4.195,4.195,499.2766,549.00175,1.383101627,66.08073,49.479165,42.17303,1.090856,74.47193,78.812215,69.15509,73.38686,71.3614,81.886575,71.75926,76.20804,69.98698,71.469905,69.842305,75.810185,6.872106,83.8
2021-08-05 14:00,0.579999996,0.460000006,0.720000021,0.06,0.03,0.04,0.319999998,0.050000001,0.03,21.275,33.925,44.95,0.07,0.06,0.100000001,2.0575,2.28,440.3669342,30.80319,11.79499,62.521855,70.17941,57.634875,130.75,128.75595,127.787125,129.050925,129.352675,128.0553,35.38247,45.0810175,41.059025,51.60590094,52.12673534,46.06481,47.5839075,77.19907,62.1817125,74.4646925,66.6232575,67.158565,56.13426,58,96,94,50,44.75,46.75,46.75,51,49,0.679958402,0.688638687,41.075,49.575,59.025,59.05,58.625,51.47500038,34.531395,141.592075,88.21239,12.00812,11.936615,48.475,61.975,64.625,80.275,89.575,98.925,58.95,59.025,60.95,8,8.359999914,7.489999943,7.739999943,6.9105,6.82475,6.99525,6.9375,5.2165,5.07775,4.7915,4.48225,4.20125,4.20125,498.4664,535.886875,1.417824022,50.292965,53.92795,44.01765,1.11111125,78.0526625,68.829565,63.2595525,68.61256,66.442415,70.72844,69.6614625,73.1156,58.991605,68.9923325,61.14366,74.1644925,6.715132657,81.075
2021-08-05 15:00,2.369999886,1.53,2.157500072,0.829999983,0.16,0.140000001,1.305,1.129999995,0.180000007,19.225,36.725,46.1,0.300000012,0.219999999,0.460000008,1.915,2.355,445.6807762,30.55093,10.9960125,56.9869275,65.48614,54.0324325,144,143.4766,142.316975,143.975275,144.200775,143.339325,38.56525852,47.366895,42.2598375,55.28067113,56.14872,47.51157,49.7829875,82.75462,67.12963,76.73611,71.18056,70.71759,58.62268,58,96,94.25,50,51,57,56,52,50,0.679958401,0.6886387,43.6,53,63.325,63.7,64.425,53.60000057,38.339885,199.5079,77.4438075,10.439765,10.4392075,49.1,63.10000057,69.32500229,83.42500114,88.92500114,103.3,62.925,63.025,65.125,8.039999962,8.300000191,7.369999886,7.670000076,6.9055,6.81425,6.988,6.932,5.1835,5.06025,4.789,4.5285,4.193,4.193,501.15015,543.07725,1.409143,56.2065975,52.5173575,44.18041,1.099537,77.0760975,78.3058475,70.2944125,75.4484975,70.42101,79.6983525,72.0666925,75.249565,70.619935,68.64873,69.1370075,76.2442075,6.828703,82.9
2021-08-05 16:00,2.344999974,1.480000019,2.12,0.819999993,0.159999996,0.140000001,1.31,0.920000017,0.180000007,18.6,36.4,45.9,0.3,0.200000003,0.449999988,1.9625,2.22,433.2051647,30.4471575,10.67942,56.096495,63.9247375,51.887385,144.25,143.872275,142.743925,144.0328,144.246675,143.87425,39.03544,48.66898346,43.28703077,56.25,57.17592621,48.32175,50.69444275,82.92824,67.2598375,77.02546,71.4699,71.18055725,59.375,58.25,95,94.25,51,52,59,57,53,52,0.6799584,0.6886387,44.40000153,54.70000076,64,64.4,65.2,54.40000038,38.003525,208.361275,80.2997275,10.746245,10.36879,50,64.30000076,70.4,85.20000114,90.09999847,101.025,64.2,64.3,66.30000305,8.020000458,8.28,7.33,7.630000114,6.88725,6.797,6.974,6.921,5.166,5.03525,4.8225,4.546,4.263,4.263,500.0868,548.0903,1.385995269,52.1195025,55.8268225,38.04977,1.090856,77.09418,81.036605,71.09013,69.209345,75.4304125,79.57176,72.60923,75.30382,68.811485,71.74118,69.3540225,72.15712,6.846065,83.3
2021-08-05 17:00,2.269999981,1.41,2.14,0.82,0.159999996,0.140000001,1.360000014,0.980000019,0.2,18.4,37.7,47,0.3,0.200000003,0.449999988,1.75,2.1425,469.0830773,30.0889675,10.1633275,56.30874,68.534895,57.371945,144.25,143.76265,142.75475,144.011375,144.303025,143.80505,40.30132294,49.07407379,44.15509,56.59722137,57.58101654,48.61111,51.09953308,83.73842,68.11343,77.43054962,72.51157,71.52777863,59.72222,58,95,95,52,53,61,57,53,52,0.6799584,0.6886387,45.20000076,55.40000153,65.3,65.6,66.5,55.10000229,39.2296175,187.999975,76.298985,11.5361925,11.3105825,50.29999924,64.80000305,70.40000153,85.09999886,88.525,98.22500076,64.59999886,64.70000458,66.90000153,8.029999733,8.279999733,7.329999924,7.62,6.885,6.797,6.977,6.922,5.166,5.04025,4.818,4.563,4.231,4.231,498.8209,548.6979,1.380208254,62.8978625,49.7866,37.706165,1.087963,74.291085,75.52084,72.62732,74.2730075,71.252895,80.8557575,69.2636,76.0452825,69.082755,71.8858525,71.4879925,76.4612225,6.869213,83.7
2021-08-05 18:00,2.324999971,1.56,2.130000114,0.819999993,0.159999996,0.140000001,1.309999943,1,0.189999998,18.6,37.1,46.425,0.300000012,0.200000003,0.449999988,1.78,2.19,455.01045,30.5637675,10.69962,56.307385,65.81493,55.5111825,144,144.0573,142.94805,144.291925,144.640425,143.9193,40.46407318,49.01620483,44.27083,56.71295929,57.63889,48.66898346,51.21527863,83.535875,67.7806675,77.43054962,72.16435,71.52777897,59.78009033,58.25,95,95,52,53,60,57,53,53,0.6799584,0.6886387,45.10000229,55.60000229,64.9,65.20000114,66.1,54.70000019,38.0876125,188.624675,78.0563775,10.9218475,10.7589725,50.20000076,64.80000305,70.20000458,85.09999847,89.3,96.90000153,64.70000458,64.90000038,67,8.029999733,8.279999733,7.329999924,7.62,6.89225,6.799,6.978,6.921,5.17325,5.044,4.816,4.548,4.24075,4.24075,498.11195,547.73585,1.377315,64.5797175,50.5823225,41.9741025,1.08868625,78.5228575,77.8537325,72.4645525,73.5134525,72.753905,78.1430825,69.8603875,74.8878725,73.7666425,70.9997075,69.7338,74.2368325,6.869213,83.6
2021-08-05 19:00,2.262499995,1.559999943,2.092499976,0.82,0.159999996,0.140000001,1.340000033,0.952499995,0.182500005,18.7,37.3,46.7,0.300000012,0.200000003,0.449999988,1.83,2.15,463.762941,30.5974575,10.5461075,56.6368625,66.5430725,55.6333,144,143.456475,142.649925,143.879775,144.255825,143.5173,39.99389,49.07407379,44.15509033,56.71295929,57.6388855,48.66898346,51.21527863,83.73842,67.99768,77.54629517,72.33796,71.58564758,59.78009033,58,95,95,52,52,61,57,53,53,0.679958403,0.6886387,44.10000229,55.1,63.29999924,63.70000076,64.5,53.20000076,38.67354,184.849275,76.47439,10.8537175,10.3323125,49.20000076,63.90000153,69.5,84.90000153,88.82500229,96.40000153,64.09999886,64.20000458,66.4,8.029999733,8.28,7.329999924,7.62,6.891,6.796,6.9765,6.92,5.174,5.042,4.78375,4.536,4.219,4.219,498.669,549.153625,1.377315,64.471205,49.94936,34.8849825,1.090856,77.5101275,76.7144125,70.3125,73.296445,72.5730625,80.5121525,73.079425,75.0506375,70.095485,72.04861,70.24016,73.7304725,6.8728295,83.8
2021-08-05 20:00,2.27,1.480000019,2.092499976,0.819999993,0.159999996,0.140000001,1.340000033,0.92750001,0.2,19,37.5,47.1,0.2925,0.200000003,0.449999988,1.83,2.2,466.6221185,30.6951575,10.690105,57.164435,66.751975,57.40343,145,143.929725,143.049,143.848075,144.362375,143.79815,40.30132294,49.07407379,44.27083,56.71296,57.63889,48.66898346,51.21527863,83.91203,68.11343,77.5463,72.39583,71.58565,59.89582825,58,95,95,52,52,60,57,53,53,0.6799584,0.6886387,43.29999924,53.92500114,61.9,62.29999943,63.10000057,51.90000038,38.817305,189.305,76.80579,10.89501,10.1689375,48,62.62500172,68.6,85.09999847,89.1,96.8,63.025,63.2,65.3,8.020000458,8.28249999,7.329999924,7.62,6.884,6.792,6.976,6.918,5.18025,5.048,4.7805,4.523,4.2125,4.2125,498.669,548.394075,1.377314854,64.41695,52.9513925,35.9881375,1.087963,76.96759,78.5228575,70.7465275,73.260275,74.63469,82.9173925,72.102865,73.9113125,68.9561625,74.32725,67.49132,75.62934,6.875,83.8
